"EAN NR.";"NSH Varenr.";"DB NR.";"Varebetegnelse DK";"Varebetegnelse SE";"Varebetegnelse FI";"Varebetegnelse UK"
"8713235072781";"100-000";"";"Sikkerhedsboks";"Säkerhetslåda";"Turvakotelo Patura";"Safety box"
"4032922010351";"100-195";"";"Patura hegnskompas";"Patura digital felsökare";"Patura -testeri / aitakompassi";"Patura fence compass"
"4032922010238";"100-197";"";"Fjernpetjening inkl. hegnskompas";"Fjärrkontroll inkl. felsökare";"Patura kauko-ohjain sis. vianilmaisimen";"Remote control incl. fence compass"
"5705858001159";"100-200";"";"Jordspyd, 2 m";"Jordspett, 2 m";"Maapiikki, kuumasinkitty";"Ground spear, 2 m"
"4032922010429";"100-225";"";"Knivafbryder Patura";"Knivbrytare Patura";"Veitsikytkin (katkaisija) Patura";"Knife switch (cut-out switch) Patura"
"4032922137232";"100-226";"";"Advarselsskilt";"Varningsskylt";"Varoituskyltti";"Warning sign"
"3661024036009";"100-300";"";"Batteri, 12 Volt/80 Ampere";"Batteri, 12 Volt/80 Ampere";"Akku, 12 V";"Battery, 12 Volt/80 Ampere"
"4032922184502";"100-342";"";"Solpanel 55W inkl. beslag Patura";"Solpanel 55 W inkl. beslag Patura";"Aurinkopaneeli 55W sis. telineen Patura";"Solar panel 55W incl. bracket Patura"
"4032922184519";"100-343";"";"Solpanel 80W inkl. beslag Patura";"Solpanel 80 W inkl. beslag Patura";"Aurinkopaneeli 80W sis. telineen Patura";"Solar panel 80W incl. Bracket Patura"
"4032922340533";"100-350";"";"Beskyttelsesboks";"Säkerhetslåda";"Turva/kuljetuskotelo Patura";"Safety box"
"4032922184236";"100-355";"";"LTE GSM-hegnsalarm Patura";"LTE GSM-stängsellarm Patura";"LTE GSM -aitahälytin Patura";"LTE GSM fence alarm Patura"
"4032922014311";"100-700";"";"Spændingsgiver, P4 kombi Patura";"Elaggregat, P4 kombi Patura";"Sähköpaimen P4 Kombi Patura";"Energizer, P4 kombi Patura"
"4032922330718";"100-737";"";"Spændingsgiver P3500 Patura";"Elaggregat P3500 Patura";"Sähköpaimen P3500 Kombi Patura";"Energizer P3500 Patura"
"4032922330695";"100-743";"";"Spændingsgiver P1500 Patura";"Elaggregat P1500 Patura";"Sähköpaimen P1500 Patura";"Energizer P1500 Patura"
"4032922160322";"100-751";"";"Spændingsgiver P8000 Patura";"Elaggregat P8000 Patura";"Sähköpaime P8000 virtalähde Patura";"Energizer P8000 Patura"
"4032922132855";"100-753";"";"Spændingsgiver P6000 Patura";"Elaggregat P6000 Patura";"Sähköpaimen P6000 MaxiPlus Patura";"Energizer P6000 Patura"
"9414731405699";"100-758";"";"Spændingsgiver P4500 Patura";"Elaggregat P4500 Patura";"Sähköpaimen P4500 MaxiPlus Patura";"Energizer P4500 Patura"
"9414731405705";"100-759";"";"Spændingsgiver P4600 Patura";"Elaggregat P4600 Patura";"Sähköpaimen P4600 MaxiPlus Patura";"Energizer P4600 Patura"
"4032922171342";"100-760";"";"Spændingsgiver P5000 Patura";"Elaggregat P5000 Patura";"Sähköpaimen P5000 Patura";"Energizer P5000 Patura"
"5705858062693";"100-762";"";"Spændingsgiver P3800 Patura";"Elaggregat P3800 Patura";"Sähköpaimen P3800 Patura";"Energizer P3800 Patura"
"4032922330701";"100-765";"";"Spændingsgiver P2500 Patura";"Elaggregat P2500 Patura";"Sähköpaime P2500 virtalähde Patura";"Energizer P2500 Patura"
"4032922177832";"100-780";"";"Mobil spændingsgiver P340 12V 4,6J Patura";"Mobil spänningsgivare P340 12 V 4,6 J Patura";"Mobiilipaimen P340 12V 4,6J Patura";"Mobile energizer P340 12V 4.6J Patura"
"5705858723136";"101-000PC";"";"Pæl trykimp. Ø5 x 125 cm NTR-A";"Stolpe tryckimpregnerad Ø5 x 125 cm NTR-A";"Painekyllästetty tolppa, Ø 5 x 125 cm NTR-A";"Fence post pressure treated Ø5 x 125 cm NTR-A"
"5705858723150";"101-002PC";"";"Pæl trykimp. Ø5 x 150 cm NTR-A";"Stolpe tryckimpregnerad Ø5 x 150 cm NTR-A";"Painekyllästetty tolppa, Ø 5 x 150 cm NTR-A";"Fence post pressure treated Ø5 x 150 cm NTR-A"
